Order Date,Product Name,Category,Region,Quantity,Unit Price,Unit Cost,Sales,Profit,Margin_profit
3/12/2024,Bookshelf,Furniture,East,7,86,17,602,483,0.802325581
11/30/2024,Table,Furniture,East,7,572,234,4004,2366,0.590909091
12/14/2024,Charger,Accessories,South,9,172,125,1548,423,0.273255814
10/30/2024,Router,Electronics,East,10,760,12,7600,7480,0.984210526
12/22/2024,Table,Furniture,South,6,989,596,5934,2358,0.397371082
5/17/2024,Laptop,Electronics,South,4,555,255,2220,1200,0.540540541
9/25/2024,Keyboard,Accessories,North,5,891,623,4455,1340,0.300785634
1/24/2024,Mouse,Accessories,South,9,262,196,2358,594,0.251908397
8/1/2024,Laptop,Electronics,North,2,919,360,1838,1118,0.608269859
6/28/2024,Tablet,Electronics,North,8,325,306,2600,152,0.058461538
4/7/2024,Monitor,Electronics,West,4,425,319,1700,424,0.249411765
7/10/2024,Smartphone,Electronics,North,6,811,487,4866,1944,0.399506782
4/2/2024,Laptop,Electronics,South,6,210,40,1260,1020,0.80952381
7/5/2024,Mouse,Accessories,South,6,831,718,4986,678,0.135980746
3/15/2024,Headphones,Accessories,North,5,552,544,2760,40,0.014492754
6/4/2024,Sofa,Furniture,West,3,272,135,816,411,0.503676471
9/21/2024,Laptop,Electronics,North,8,500,44,4000,3648,0.912
5/17/2024,Keyboard,Accessories,East,7,949,61,6643,6216,0.935721812
12/30/2024,Charger,Accessories,West,10,110,47,1100,630,0.572727273
2/7/2024,Tablet,Electronics,West,8,780,104,6240,5408,0.866666667
9/15/2024,Table,Furniture,East,7,704,62,4928,4494,0.911931818
9/19/2024,Headphones,Accessories,North,9,564,175,5076,3501,0.689716312
11/2/2024,Bookshelf,Furniture,East,9,918,589,8262,2961,0.3583878
10/10/2024,Tablet,Electronics,North,2,77,68,154,18,0.116883117
1/3/2024,USB Cable,Accessories,North,9,119,15,1071,936,0.87394958
10/28/2024,Bed,Furniture,West,2,685,457,1370,456,0.332846715
11/29/2024,Smartwatch,Electronics,East,6,658,372,3948,1716,0.434650456
11/25/2024,Mouse,Accessories,North,3,627,255,1881,1116,0.593301435
11/8/2024,Mouse,Accessories,East,10,978,554,9780,4240,0.433537832
9/17/2024,Sofa,Furniture,West,3,575,543,1725,96,0.055652174
7/1/2024,Camera,Electronics,West,5,121,35,605,430,0.710743802
4/15/2024,Printer,Electronics,East,9,780,338,7020,3978,0.566666667
9/1/2024,Laptop,Electronics,North,10,685,552,6850,1330,0.194160584
12/14/2024,Bookshelf,Furniture,South,1,189,175,189,14,0.074074074
2/21/2024,Camera,Electronics,West,10,871,173,8710,6980,0.801377727
5/20/2024,Smartwatch,Electronics,West,5,264,237,1320,135,0.102272727
6/18/2024,Smartwatch,Electronics,East,7,703,386,4921,2219,0.450924609
6/17/2024,Bookshelf,Furniture,West,3,114,47,342,201,0.587719298
3/6/2024,Speaker,Accessories,South,5,392,106,1960,1430,0.729591837
8/28/2024,Charger,Accessories,South,4,146,13,584,532,0.910958904
6/9/2024,Laptop,Electronics,West,3,585,308,1755,831,0.473504274
12/10/2024,Camera,Electronics,North,8,578,417,4624,1288,0.278546713
6/28/2024,Monitor,Electronics,South,5,657,410,3285,1235,0.375951294
10/11/2024,Camera,Electronics,South,6,200,175,1200,150,0.125
7/22/2024,Mouse,Accessories,East,2,913,411,1826,1004,0.549835706
12/19/2024,Router,Electronics,East,10,867,581,8670,2860,0.329873126
11/9/2024,Bed,Furniture,West,3,101,40,303,183,0.603960396
8/31/2024,Monitor,Electronics,East,6,419,219,2514,1200,0.477326969
5/4/2024,Office Chair,Furniture,North,6,535,299,3210,1416,0.441121495
8/6/2024,Tablet,Electronics,West,3,703,672,2109,93,0.044096728
10/4/2024,Speaker,Accessories,South,10,992,330,9920,6620,0.66733871
1/29/2024,Speaker,Accessories,North,9,687,186,6183,4509,0.729257642
12/9/2024,Laptop,Electronics,East,10,75,28,750,470,0.626666667
7/12/2024,Bed,Furniture,South,4,829,47,3316,3128,0.943305187
1/14/2024,Bed,Furniture,North,4,382,300,1528,328,0.214659686
10/21/2024,Charger,Accessories,North,2,383,226,766,314,0.409921671
7/27/2024,Router,Electronics,South,9,258,54,2322,1836,0.790697674
1/17/2024,Camera,Electronics,East,8,93,9,744,672,0.903225806
8/13/2024,Laptop,Electronics,East,7,424,293,2968,917,0.308962264
12/16/2024,Smartwatch,Electronics,East,4,151,36,604,460,0.761589404
1/25/2024,USB Cable,Accessories,North,7,413,376,2891,259,0.089588378
3/23/2024,Office Chair,Furniture,East,5,611,609,3055,10,0.003273322
12/31/2024,Sofa,Furniture,South,3,205,44,615,483,0.785365854
11/18/2024,Bed,Furniture,South,10,278,201,2780,770,0.276978417
7/20/2024,Sofa,Furniture,West,7,726,32,5082,4858,0.955922865
12/26/2024,Bookshelf,Furniture,West,4,581,206,2324,1500,0.645438898
8/7/2024,Camera,Electronics,South,7,741,431,5187,2170,0.418353576
5/21/2024,Keyboard,Accessories,North,9,655,202,5895,4077,0.691603053
9/29/2024,Office Chair,Furniture,West,7,236,122,1652,798,0.483050847
5/17/2024,USB Cable,Accessories,East,6,140,43,840,582,0.692857143
8/8/2024,Charger,Accessories,South,7,695,244,4865,3157,0.648920863
3/23/2024,Router,Electronics,East,10,132,36,1320,960,0.727272727
4/14/2024,Speaker,Accessories,West,4,761,431,3044,1320,0.433639947
6/22/2024,Tablet,Electronics,North,3,232,8,696,672,0.965517241
3/24/2024,Tablet,Electronics,South,3,828,238,2484,1770,0.712560386
7/25/2024,Smartwatch,Electronics,South,9,181,64,1629,1053,0.64640884
5/20/2024,Printer,Electronics,South,5,714,465,3570,1245,0.348739496
11/25/2024,Office Chair,Furniture,North,4,208,145,832,252,0.302884615
12/26/2024,Tablet,Electronics,West,5,791,204,3955,2935,0.742098609
7/19/2024,Sofa,Furniture,North,1,223,37,223,186,0.834080717
6/28/2024,Monitor,Electronics,East,9,547,107,4923,3960,0.804387569
8/7/2024,Smartwatch,Electronics,South,1,476,282,476,194,0.407563025
4/17/2024,Camera,Electronics,South,3,540,195,1620,1035,0.638888889
1/7/2024,Office Chair,Furniture,North,10,407,118,4070,2890,0.71007371
11/18/2024,Office Chair,Furniture,South,7,127,87,889,280,0.31496063
8/11/2024,Bed,Furniture,West,10,265,62,2650,2030,0.766037736
11/11/2024,Monitor,Electronics,North,7,787,719,5509,476,0.086404066
7/14/2024,USB Cable,Accessories,West,4,690,36,2760,2616,0.947826087
6/24/2024,Charger,Accessories,North,6,858,818,5148,240,0.046620047
12/13/2024,Laptop,Electronics,South,3,744,33,2232,2133,0.955645161
6/8/2024,Router,Electronics,East,9,561,152,5049,3681,0.729055258
6/8/2024,Bookshelf,Furniture,South,10,160,31,1600,1290,0.80625
3/4/2024,Bed,Furniture,East,5,94,17,470,385,0.819148936
2/19/2024,Printer,Electronics,West,4,732,521,2928,844,0.288251366
4/8/2024,Camera,Electronics,South,3,657,128,1971,1587,0.805175038
2/21/2024,Speaker,Accessories,South,5,689,434,3445,1275,0.370101597
11/28/2024,Monitor,Electronics,North,2,424,145,848,558,0.658018868
4/1/2024,Sofa,Furniture,North,5,764,364,3820,2000,0.523560209
10/30/2024,Smartphone,Electronics,North,7,856,439,5992,2919,0.487149533
12/21/2024,USB Cable,Accessories,South,5,203,89,1015,570,0.561576355
3/27/2024,Desk,Furniture,East,8,581,466,4648,920,0.197934596
4/8/2024,Keyboard,Accessories,West,4,312,90,1248,888,0.711538462
10/1/2024,Printer,Electronics,North,2,817,265,1634,1104,0.675642595
6/11/2024,Headphones,Accessories,North,9,769,688,6921,729,0.105331599
7/15/2024,Smartwatch,Electronics,South,8,414,64,3312,2800,0.845410628
7/21/2024,Monitor,Electronics,East,7,959,616,6713,2401,0.357664234
12/21/2024,Sofa,Furniture,North,9,229,176,2061,477,0.231441048
3/17/2024,Printer,Electronics,East,5,228,138,1140,450,0.394736842
2/21/2024,Desk,Furniture,West,5,895,193,4475,3510,0.784357542
10/1/2024,Monitor,Electronics,South,1,82,25,82,57,0.695121951
5/22/2024,Camera,Electronics,South,9,97,33,873,576,0.659793814
5/1/2024,Speaker,Accessories,West,10,841,193,8410,6480,0.770511296
12/5/2024,Bed,Furniture,West,5,684,517,3420,835,0.244152047
3/31/2024,Smartphone,Electronics,North,8,933,894,7464,312,0.041800643
6/8/2024,Tablet,Electronics,South,4,527,296,2108,924,0.438330171
3/26/2024,Keyboard,Accessories,East,7,193,60,1351,931,0.689119171
11/30/2024,Bed,Furniture,South,1,626,559,626,67,0.107028754
11/13/2024,Table,Furniture,East,3,999,149,2997,2550,0.850850851
8/23/2024,Desk,Furniture,East,8,863,686,6904,1416,0.205098494
1/21/2024,Bed,Furniture,South,2,306,90,612,432,0.705882353
11/20/2024,Smartwatch,Electronics,West,3,17,5,51,36,0.705882353
4/16/2024,Printer,Electronics,West,1,936,918,936,18,0.019230769
11/14/2024,Desk,Furniture,West,7,766,9,5362,5299,0.988250653
10/21/2024,Mouse,Accessories,West,6,911,384,5466,3162,0.578485181
11/19/2024,Smartwatch,Electronics,North,4,735,434,2940,1204,0.40952381
7/6/2024,Keyboard,Accessories,East,4,59,5,236,216,0.915254237
5/3/2024,Office Chair,Furniture,North,10,141,17,1410,1240,0.879432624
4/26/2024,Printer,Electronics,North,4,253,252,1012,4,0.003952569
5/8/2024,Printer,Electronics,East,3,169,59,507,330,0.650887574
8/20/2024,Printer,Electronics,West,8,966,229,7728,5896,0.762939959
12/17/2024,Monitor,Electronics,North,6,844,137,5064,4242,0.837677725
3/12/2024,Bookshelf,Furniture,West,6,756,176,4536,3480,0.767195767
8/22/2024,Bed,Furniture,North,5,999,640,4995,1795,0.359359359
8/3/2024,Office Chair,Furniture,South,6,892,416,5352,2856,0.533632287
5/15/2024,Desk,Furniture,East,9,387,326,3483,549,0.157622739
8/28/2024,Keyboard,Accessories,North,4,706,265,2824,1764,0.624645892
2/26/2024,Mouse,Accessories,North,9,102,71,918,279,0.303921569
7/23/2024,Desk,Furniture,West,5,327,18,1635,1545,0.944954128
3/3/2024,Laptop,Electronics,West,9,36,25,324,99,0.305555556
6/27/2024,Smartphone,Electronics,South,7,286,63,2002,1561,0.77972028
4/10/2024,Smartphone,Electronics,West,5,445,350,2225,475,0.213483146
10/31/2024,Headphones,Accessories,South,8,652,340,5216,2496,0.478527607
6/3/2024,Bed,Furniture,East,9,994,346,8946,5832,0.651911469
8/27/2024,Headphones,Accessories,East,1,931,409,931,522,0.560687433
11/24/2024,Sofa,Furniture,North,3,630,99,1890,1593,0.842857143
8/27/2024,Bed,Furniture,North,10,643,342,6430,3010,0.468118196
6/24/2024,Smartwatch,Electronics,South,7,527,42,3689,3395,0.920303605
7/11/2024,Monitor,Electronics,East,1,789,256,789,533,0.675538657
11/14/2024,Smartwatch,Electronics,South,5,573,154,2865,2095,0.731239092
4/19/2024,USB Cable,Accessories,North,3,498,218,1494,840,0.562248996
9/13/2024,Charger,Accessories,East,10,502,214,5020,2880,0.573705179
3/23/2024,Smartwatch,Electronics,West,3,578,21,1734,1671,0.96366782
12/16/2024,Camera,Electronics,South,4,391,175,1564,864,0.552429668
2/26/2024,Printer,Electronics,East,5,539,208,2695,1655,0.614100186
8/8/2024,Tablet,Electronics,East,2,241,147,482,188,0.390041494
1/27/2024,Laptop,Electronics,North,9,662,534,5958,1152,0.193353474
8/2/2024,Mouse,Accessories,North,10,20,16,200,40,0.2
11/15/2024,Smartwatch,Electronics,North,7,656,482,4592,1218,0.265243902
6/15/2024,Router,Electronics,North,9,317,11,2853,2754,0.965299685
2/22/2024,Bookshelf,Furniture,East,5,874,301,4370,2865,0.655606407
7/22/2024,Camera,Electronics,North,8,920,684,7360,1888,0.256521739
5/17/2024,Bed,Furniture,South,4,384,70,1536,1256,0.817708333
1/9/2024,Speaker,Accessories,North,7,637,576,4459,427,0.095761381
10/17/2024,Mouse,Accessories,East,8,786,292,6288,3952,0.628498728
10/20/2024,Office Chair,Furniture,North,4,594,87,2376,2028,0.853535354
2/15/2024,Headphones,Accessories,East,10,520,440,5200,800,0.153846154
11/20/2024,Camera,Electronics,South,10,73,24,730,490,0.671232877
12/29/2024,Tablet,Electronics,North,6,481,272,2886,1254,0.434511435
3/14/2024,Smartphone,Electronics,West,4,776,317,3104,1836,0.591494845
10/11/2024,Smartphone,Electronics,North,9,305,264,2745,369,0.13442623
10/28/2024,Mouse,Accessories,North,9,810,30,7290,7020,0.962962963
1/24/2024,Printer,Electronics,East,5,268,146,1340,610,0.455223881
8/18/2024,Printer,Electronics,North,2,749,411,1498,676,0.451268358
4/24/2024,Office Chair,Furniture,South,4,621,595,2484,104,0.041867955
1/13/2024,USB Cable,Accessories,West,5,57,51,285,30,0.105263158
9/8/2024,Smartphone,Electronics,East,7,491,186,3437,2135,0.621181263
12/13/2024,Charger,Accessories,West,7,615,252,4305,2541,0.590243902
5/30/2024,Monitor,Electronics,West,2,859,167,1718,1384,0.805587893
9/13/2024,Speaker,Accessories,East,3,704,467,2112,711,0.336647727
9/21/2024,USB Cable,Accessories,West,4,283,145,1132,552,0.487632509
1/23/2024,Laptop,Electronics,South,6,650,587,3900,378,0.096923077
10/28/2024,Smartwatch,Electronics,North,4,600,211,2400,1556,0.648333333
5/30/2024,Bed,Furniture,East,2,119,75,238,88,0.369747899
11/8/2024,Table,Furniture,North,1,333,154,333,179,0.537537538
1/28/2024,USB Cable,Accessories,South,6,74,15,444,354,0.797297297
10/21/2024,Bed,Furniture,South,9,655,30,5895,5625,0.954198473
5/14/2024,Office Chair,Furniture,North,1,265,32,265,233,0.879245283
1/16/2024,Printer,Electronics,North,6,977,853,5862,744,0.12691914
3/18/2024,Keyboard,Accessories,South,4,172,127,688,180,0.261627907
10/4/2024,Tablet,Electronics,North,10,286,55,2860,2310,0.807692308
1/26/2024,Router,Electronics,South,10,87,51,870,360,0.413793103
2/3/2024,Desk,Furniture,West,4,172,24,688,592,0.860465116
1/8/2024,Monitor,Electronics,East,1,173,157,173,16,0.092485549
2/6/2024,Mouse,Accessories,East,9,963,795,8667,1512,0.174454829
11/12/2024,Desk,Furniture,South,6,163,37,978,756,0.773006135
9/25/2024,Office Chair,Furniture,West,7,974,212,6818,5334,0.782340862
10/29/2024,USB Cable,Accessories,West,7,496,423,3472,511,0.147177419
2/25/2024,Printer,Electronics,East,9,137,17,1233,1080,0.875912409
1/2/2024,Smartphone,Electronics,East,4,414,286,1656,512,0.309178744
12/10/2024,Sofa,Furniture,North,8,621,212,4968,3272,0.658615137
6/11/2024,Charger,Accessories,East,6,276,209,1656,402,0.242753623
1/9/2024,Office Chair,Furniture,South,1,151,126,151,25,0.165562914
7/9/2024,Desk,Furniture,North,3,669,132,2007,1611,0.802690583
4/8/2024,Monitor,Electronics,South,10,368,21,3680,3470,0.942934783
10/17/2024,Sofa,Furniture,East,10,937,848,9370,890,0.094983991
11/11/2024,USB Cable,Accessories,North,6,400,262,2400,828,0.345
1/8/2024,Speaker,Accessories,East,8,773,424,6184,2792,0.45148771
2/10/2024,Charger,Accessories,South,4,513,309,2052,816,0.397660819
12/24/2024,Keyboard,Accessories,East,8,371,81,2968,2320,0.781671159
2/12/2024,Router,Electronics,East,6,182,56,1092,756,0.692307692
12/23/2024,Desk,Furniture,North,5,96,14,480,410,0.854166667
3/14/2024,Tablet,Electronics,South,7,119,38,833,567,0.680672269
5/14/2024,Sofa,Furniture,West,10,414,339,4140,750,0.18115942
11/17/2024,Router,Electronics,West,9,309,297,2781,108,0.038834951
5/26/2024,Sofa,Furniture,West,4,228,70,912,632,0.692982456
2/12/2024,Camera,Electronics,South,2,830,758,1660,144,0.086746988
10/23/2024,Bookshelf,Furniture,East,2,120,98,240,44,0.183333333
7/10/2024,Speaker,Accessories,West,3,639,210,1917,1287,0.671361502
7/7/2024,Sofa,Furniture,North,2,586,223,1172,726,0.619453925
2/24/2024,Smartwatch,Electronics,West,5,558,208,2790,1750,0.627240143
4/1/2024,Sofa,Furniture,North,3,934,248,2802,2058,0.734475375
4/20/2024,Speaker,Accessories,North,2,82,17,164,130,0.792682927
3/18/2024,Keyboard,Accessories,South,10,215,109,2150,1060,0.493023256
9/28/2024,Smartphone,Electronics,North,9,211,181,1899,270,0.142180095
8/10/2024,Tablet,Electronics,South,2,399,287,798,224,0.280701754
5/20/2024,Sofa,Furniture,West,6,829,709,4974,720,0.144752714
9/5/2024,Camera,Electronics,West,7,577,360,4039,1519,0.376083189
11/17/2024,Sofa,Furniture,East,9,10,8,90,18,0.2
3/4/2024,Laptop,Electronics,North,9,279,57,2511,1998,0.795698925
1/27/2024,USB Cable,Accessories,South,8,985,784,7880,1608,0.204060914
5/29/2024,Office Chair,Furniture,West,4,332,233,1328,396,0.298192771
3/30/2024,Monitor,Electronics,East,2,868,37,1736,1662,0.957373272
9/6/2024,Bookshelf,Furniture,West,2,252,115,504,274,0.543650794
8/11/2024,Desk,Furniture,North,9,898,126,8082,6948,0.859688196
3/29/2024,Charger,Accessories,East,5,571,388,2855,915,0.320490368
7/3/2024,Smartwatch,Electronics,East,6,222,78,1332,864,0.648648649
9/11/2024,Desk,Furniture,South,5,675,106,3375,2845,0.842962963
6/21/2024,Table,Furniture,West,10,631,51,6310,5800,0.919175911
2/18/2024,Desk,Furniture,South,9,303,208,2727,855,0.313531353
6/28/2024,Office Chair,Furniture,South,5,552,250,2760,1510,0.547101449
3/30/2024,Smartwatch,Electronics,West,9,72,70,648,18,0.027777778
10/3/2024,Sofa,Furniture,West,7,765,314,5355,3157,0.589542484
6/12/2024,Printer,Electronics,West,9,340,154,3060,1674,0.547058824
4/27/2024,Smartwatch,Electronics,South,9,389,251,3501,1242,0.354755784
6/29/2024,Mouse,Accessories,North,9,590,236,5310,3186,0.6
8/24/2024,Keyboard,Accessories,North,9,248,195,2232,477,0.213709677
6/3/2024,Office Chair,Furniture,North,6,694,13,4164,4086,0.981268012
1/10/2024,Printer,Electronics,South,3,379,69,1137,930,0.817941953
8/7/2024,Charger,Accessories,East,9,199,148,1791,459,0.256281407
12/3/2024,Printer,Electronics,East,2,616,524,1232,184,0.149350649
2/4/2024,Laptop,Electronics,South,8,420,382,3360,304,0.09047619
11/6/2024,Table,Furniture,East,10,623,109,6230,5140,0.825040128
12/20/2024,Printer,Electronics,West,4,198,82,792,464,0.585858586
6/15/2024,Mouse,Accessories,West,10,732,468,7320,2640,0.360655738
11/8/2024,Bookshelf,Furniture,West,5,798,154,3990,3220,0.807017544
10/23/2024,Speaker,Accessories,East,1,673,276,673,397,0.589895988
1/12/2024,Office Chair,Furniture,North,3,851,617,2553,702,0.274970623
4/8/2024,Smartphone,Electronics,East,1,781,66,781,715,0.915492958
3/7/2024,Mouse,Accessories,South,8,222,165,1776,456,0.256756757
8/24/2024,Speaker,Accessories,West,7,669,120,4683,3843,0.820627803
7/13/2024,Table,Furniture,East,6,223,73,1338,900,0.67264574
11/28/2024,Table,Furniture,North,6,855,420,5130,2610,0.50877193
9/14/2024,Router,Electronics,North,7,806,188,5642,4326,0.76674938
10/26/2024,Charger,Accessories,West,3,643,351,1929,876,0.454121306
6/22/2024,Mouse,Accessories,West,8,321,23,2568,2384,0.92834891
2/17/2024,Smartphone,Electronics,East,7,581,20,4067,3927,0.965576592
7/29/2024,Smartwatch,Electronics,North,6,893,514,5358,2274,0.424412094
5/18/2024,Camera,Electronics,East,3,849,444,2547,1215,0.477031802
3/10/2024,USB Cable,Accessories,South,8,427,27,3416,3200,0.93676815
7/18/2024,Tablet,Electronics,North,7,197,158,1379,273,0.197969543
9/23/2024,Headphones,Accessories,West,6,104,11,624,558,0.894230769
6/29/2024,Tablet,Electronics,North,9,320,8,2880,2808,0.975
6/10/2024,Table,Furniture,North,3,972,773,2916,597,0.20473251
10/22/2024,Laptop,Electronics,West,1,986,19,986,967,0.980730223
4/19/2024,Speaker,Accessories,South,8,298,208,2384,720,0.302013423
3/20/2024,Printer,Electronics,North,5,124,24,620,500,0.806451613
1/10/2024,Tablet,Electronics,South,3,591,90,1773,1503,0.847715736
9/16/2024,Office Chair,Furniture,South,2,891,469,1782,844,0.47362514
3/20/2024,Table,Furniture,West,8,510,267,4080,1944,0.476470588
11/11/2024,Bookshelf,Furniture,East,3,130,54,390,228,0.584615385
4/13/2024,Monitor,Electronics,West,5,258,191,1290,335,0.259689922
1/12/2024,Printer,Electronics,North,7,260,20,1820,1680,0.923076923
10/30/2024,USB Cable,Accessories,West,7,130,65,910,455,0.5
11/12/2024,Bookshelf,Furniture,West,8,843,20,6744,6584,0.976275208
7/28/2024,USB Cable,Accessories,East,2,340,101,680,478,0.702941176
6/7/2024,Office Chair,Furniture,West,5,575,187,2875,1940,0.674782609
7/11/2024,Charger,Accessories,East,5,536,40,2680,2480,0.925373134
7/12/2024,Sofa,Furniture,South,1,191,122,191,69,0.361256545
7/11/2024,Table,Furniture,East,8,650,504,5200,1168,0.224615385
1/26/2024,Charger,Accessories,East,4,518,514,2072,16,0.007722008
7/27/2024,Headphones,Accessories,East,2,83,70,166,26,0.156626506
5/28/2024,Sofa,Furniture,South,10,753,387,7530,3660,0.486055777
